address	proposed_name	library	source_url	confidence
0x02101c54	NNS_FndResizeForMBlockExpHeap	NitroSystem fnd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/fnd/src/expheap.c	high
0x02101e20	NNS_FndDestroyExpHeap	NitroSystem fnd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/fnd/src/expheap.c	high
0x021023c8	NNS_FndResizeForMBlockFrmHeap	NitroSystem fnd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/fnd/src/frameheap.c	high
0x0210285c	NNS_FndUnmountArchive	NitroSystem fnd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/fnd/src/archive.c	high
0x02105178	NNS_G3dPlttSetPlttKey	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/kernel.c	high
0x02105294	NNS_G3dRenderObjSetInitFunc	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/kernel.c	medium
0x021054e4	NNS_G3dRenderObjInit	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/kernel.c	medium
0x021057f4	NNS_G3dGlbSetBaseScale	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/glbstate.c	high
0x0210581c	NNS_G3dGlbSetBaseTrans	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/glbstate.c	high
0x02107b44	NNS_G3dGetJntAnmByIdx	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/binres/res_struct_accessor_anm.c	medium
0x02107b80	NNS_G3dGetMatCAnmByIdx	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/binres/res_struct_accessor_anm.c	high
0x02107bbc	NNS_G3dGetTexSRTAnmByIdx	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/binres/res_struct_accessor_anm.c	high
0x02107bf8	NNS_G3dGetTexPatAnmByIdx	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/binres/res_struct_accessor_anm.c	high
0x02107cf0	NNS_G3dGetVisAnmByIdx	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/binres/res_struct_accessor_anm.c	medium
0x02108b80	NNSi_G3dAnmObjInitNsBma	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/anm/nsbma.c	medium
0x02108f30	NNSi_G3dAnmObjInitNsBta	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/anm/nsbta.c	high
0x0210744c	NNS_G3dMdlSetMdl<field>All (family, reverse source order)	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/model.c	low
0x02107494	NNS_G3dMdlSetMdl<field>All (family, reverse source order)	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/model.c	low
0x021074dc	NNS_G3dMdlSetMdl<field>All (family, reverse source order)	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/model.c	low
0x02107524	NNS_G3dMdlSetMdl<field>All (family, reverse source order)	NitroSystem g3d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g3d/src/model.c	low
0x02103218	NNS_G2dFontInitAuto	NitroSystem g2d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g2d/src/g2d_Font.c	medium
0x02103334	NNS_G2dArrangeOBJ1D	NitroSystem g2d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g2d/src/g2d_CharCanvas.c	high
0x021037f8	NNS_G2dCharCanvasInitForOBJ1D	NitroSystem g2d	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/g2d/src/g2d_CharCanvas.c	high
0x0210a9e4	NNSi_SndReadDriverPlayerInfo	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/main.c	high
0x0210aa44	NNS_SndUpdateDriverInfo	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/main.c	medium
0x0210ab38	NNS_SndSetMasterVolume	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/main.c	medium
0x0210b498	NNS_SndPlayerReadDriverTrackInfo	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/player.c	high
0x0210b4cc	NNS_SndPlayerReadDriverPlayerInfo	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/player.c	high
0x0210b500	NNS_SndPlayerWriteGlobalVariable	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/player.c	medium
0x0210b604	NNS_SndPlayerSetTempoRatio	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/player.c	low
0x0210b634	NNS_SndPlayerSetTrackPan	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/player.c	low
0x0210b6d4	NNS_SndPlayerSetTrackMute	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/player.c	medium
0x0210b734	NNS_SndPlayerSetPlayerPriority	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/player.c	high
0x0210b7e0	NNS_SndHandleInit	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/player.c	high
0x0210e658	SetupStreamFunction (file-scope static)	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	high
0x0210e6c0	MakeWaveData (file-scope static)	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	high
0x0210ef74	OnDataEnd (file-scope static)	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	high
0x0210f0c0	StrmCallback (file-scope static)	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	high
0x0210f20c	DisposeCallback (file-scope static)	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	high
0x0210f404	CreateThread (file-scope static)	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	medium
0x0210f500	ShutdownPlayer (file-scope static)	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	medium
0x0210f988	AllocPlayer (file-scope static)	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	high
0x0210fbf8	NNS_SndStrmHandleInit	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	high
0x0210fc50	NNS_SndArcStrmSetVolume	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	medium
0x0210fc7c	NNS_SndArcStrmStop	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	medium
0x0210fd2c	NNS_SndArcStrmSetupPlayer	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	medium
0x0210fe08	NNS_SndArcStrmInit	NitroSystem snd	https://github.com/ntrtwl/NitroSystem/blob/main/libraries/snd/src/sndarc_stream.c	medium
